array_type,time,element_size,checksum
sliced, 0.006081, 896, 549770476255
SQ, 0.007749, 896, 549770476255
HAT, 0.061836, 896, 549770476255
MSarray_2, 0.245194, 896, 549770476255
MSarray_3, 0.191977, 896, 549770476255
MSarray_4, 0.363059, 896, 549770476255
geo, 0.006552, 912, 549770476255
mono, 0.004495, 912, 549770476255
sliced, 0.015587, 912, 549770476255
SQ, 0.008060, 912, 549770476255
HAT, 0.089183, 912, 549770476255
MSarray_2, 0.183547, 912, 549770476255
MSarray_3, 0.118581, 912, 549770476255
MSarray_4, 0.370752, 912, 549770476255
geo, 0.005662, 928, 549770476255
mono, 0.005501, 928, 549770476255
sliced, 0.010456, 928, 549770476255
SQ, 0.008202, 928, 549770476255
HAT, 0.090826, 928, 549770476255
MSarray_2, 0.188481, 928, 549770476255
MSarray_3, 0.183977, 928, 549770476255
MSarray_4, 0.323292, 928, 549770476255
geo, 0.004528, 944, 549770476255
mono, 0.003520, 944, 549770476255
sliced, 0.010923, 944, 549770476255
SQ, 0.005765, 944, 549770476255
HAT, 0.094105, 944, 549770476255
MSarray_2, 0.165197, 944, 549770476255
MSarray_3, 0.156579, 944, 549770476255
MSarray_4, 0.373247, 944, 549770476255
geo, 0.003651, 960, 549770476255
mono, 0.005876, 960, 549770476255
sliced, 0.017407, 960, 549770476255
SQ, 0.005182, 960, 549770476255
HAT, 0.094111, 960, 549770476255
MSarray_2, 0.198395, 960, 549770476255
MSarray_3, 0.123158, 960, 549770476255
MSarray_4, 0.370062, 960, 549770476255
geo, 0.004125, 976, 549770476255
mono, 0.005530, 976, 549770476255
sliced, 0.019858, 976, 549770476255
SQ, 0.004598, 976, 549770476255
HAT, 0.086240, 976, 549770476255
MSarray_2, 0.203836, 976, 549770476255
MSarray_3, 0.130252, 976, 549770476255
MSarray_4, 0.351855, 976, 549770476255
geo, 0.004020, 992, 549770476255
mono, 0.002596, 992, 549770476255
sliced, 0.006709, 992, 549770476255
SQ, 0.004477, 992, 549770476255
HAT, 0.072059, 992, 549770476255
MSarray_2, 0.201575, 992, 549770476255
MSarray_3, 0.190032, 992, 549770476255
MSarray_4, 0.346510, 992, 549770476255
geo, 0.003424, 1008, 549770476255
mono, 0.005136, 1008, 549770476255
sliced, 0.012279, 1008, 549770476255
SQ, 0.004534, 1008, 549770476255
HAT, 0.071811, 1008, 549770476255
MSarray_2, 0.207438, 1008, 549770476255
MSarray_3, 0.203330, 1008, 549770476255
MSarray_4, 0.365731, 1008, 549770476255
geo, 0.004719, 1024, 549770476255
mono, 0.004012, 1024, 549770476255
sliced, 0.004156, 1024, 549770476255
SQ, 0.005032, 1024, 549770476255
HAT, 0.075352, 1024, 549770476255
MSarray_2, 0.193198, 1024, 549770476255
MSarray_3, 0.198248, 1024, 549770476255
MSarray_4, 0.341883, 1024, 549770476255
geo, 0.002421, 1040, 549770476255
mono, 0.003505, 1040, 549770476255
sliced, 0.014366, 1040, 549770476255
SQ, 0.004984, 1040, 549770476255
HAT, 0.100093, 1040, 549770476255
MSarray_2, 0.200695, 1040, 549770476255
MSarray_3, 0.204798, 1040, 549770476255
MSarray_4, 0.416492, 1040, 549770476255
geo, 0.003674, 1056, 549770476255
mono, 0.005846, 1056, 549770476255
sliced, 0.010447, 1056, 549770476255
SQ, 0.008925, 1056, 549770476255
HAT, 0.095616, 1056, 549770476255
MSarray_2, 0.209698, 1056, 549770476255
MSarray_3, 0.170667, 1056, 549770476255
MSarray_4, 0.534431, 1056, 549770476255
geo, 0.005682, 1072, 549770476255
mono, 0.006259, 1072, 549770476255
sliced, 0.012505, 1072, 549770476255
SQ, 0.009406, 1072, 549770476255
HAT, 0.092103, 1072, 549770476255
MSarray_2, 0.199608, 1072, 549770476255
MSarray_3, 0.185884, 1072, 549770476255
MSarray_4, 0.361833, 1072, 549770476255
geo, 0.003626, 1088, 549770476255
mono, 0.005751, 1088, 549770476255
sliced, 0.012478, 1088, 549770476255
SQ, 0.008501, 1088, 549770476255
HAT, 0.097017, 1088, 549770476255
MSarray_2, 0.208605, 1088, 549770476255
MSarray_3, 0.188847, 1088, 549770476255
MSarray_4, 0.402543, 1088, 549770476255
geo, 0.003241, 1104, 549770476255
mono, 0.005379, 1104, 549770476255
sliced, 0.015647, 1104, 549770476255
SQ, 0.005127, 1104, 549770476255
HAT, 0.097480, 1104, 549770476255
MSarray_2, 0.252816, 1104, 549770476255
MSarray_3, 0.208335, 1104, 549770476255
MSarray_4, 0.397752, 1104, 549770476255
geo, 0.004088, 1120, 549770476255
mono, 0.002939, 1120, 549770476255
sliced, 0.010474, 1120, 549770476255
SQ, 0.006588, 1120, 549770476255
HAT, 0.105393, 1120, 549770476255
MSarray_2, 0.265185, 1120, 549770476255
MSarray_3, 0.217001, 1120, 549770476255
MSarray_4, 0.440661, 1120, 549770476255
geo, 0.002572, 1136, 549770476255
mono, 0.004293, 1136, 549770476255
sliced, 0.011814, 1136, 549770476255
SQ, 0.005232, 1136, 549770476255
HAT, 0.088252, 1136, 549770476255
MSarray_2, 0.211299, 1136, 549770476255
MSarray_3, 0.225789, 1136, 549770476255
MSarray_4, 0.443523, 1136, 549770476255
geo, 0.004746, 1152, 549770476255
mono, 0.005252, 1152, 549770476255
sliced, 0.011345, 1152, 549770476255
